page_url,link_url,link_text,link_type,status,final_url,load_ms,depth,effort,category,timestamp
https://fai.gov/,https://www.gsa.gov/policy-regulations/policy/acquisition-policy/office-of-acquisition-policy/federal-acquisition-institute,Subscribe,External,200,https://www.gsa.gov/policy-regulations/policy/acquisition-policy/office-of-acquisition-policy/federal-acquisition-institute,166,0,None,OK,2026-03-13 07:51:33 EST
https://fai.gov/,https://dau.csod.com/,FAI CSOD: Login,External,200,https://dau.csod.com/common/ssoerror.aspx?error=Object+reference+not+set+to+an+instance+of+an+object.,354,0,None,OK,2026-03-13 07:51:33 EST
https://fai.gov/,https://fai.gov/,Skip to main content,Internal,200,https://fai.gov/,364,0,None,OK,2026-03-13 07:51:33 EST
https://fai.gov/,https://fai.gov/,,Internal,200,https://fai.gov/,382,0,None,OK,2026-03-13 07:51:33 EST
https://fai.gov/,https://saar.dau.edu/,Registration,External,200,https://saar.dau.edu/,425,0,None,OK,2026-03-13 07:51:33 EST
https://fai.gov/,https://fai.gov/certification/fac-cor,FAC-COR,Internal,200,https://fai.gov/certification/fac-cor,449,0,None,OK,2026-03-13 07:51:34 EST
https://fai.gov/,https://fai.gov/page/contact-us,Contact Us,Internal,200,https://fai.gov/page/contact-us,661,0,None,OK,2026-03-13 07:51:34 EST
https://fai.gov/,https://fai.gov/training/frequently-asked-questions-faqs,FAQ,Internal,200,https://fai.gov/training/frequently-asked-questions-faqs,664,0,None,OK,2026-03-13 07:51:34 EST
https://fai.gov/,https://fai.gov/humancapital/acm,ACM/SAR Directory,Internal,200,https://fai.gov/humancapital/acm,673,0,None,OK,2026-03-13 07:51:34 EST
https://fai.gov/,https://fai.gov/certification/fac-c,FAC-C,Internal,200,https://fai.gov/certification/fac-c,675,0,None,OK,2026-03-13 07:51:34 EST
https://fai.gov/,https://fai.gov/training/frequently-asked-questions-faqs,Training & Certification FAQ,Internal,200,https://fai.gov/training/frequently-asked-questions-faqs,664,0,None,OK,2026-03-13 07:51:34 EST
https://fai.gov/,https://fai.gov/certification/certification-and-career-development-programs,Certification,Internal,200,https://fai.gov/certification/certification-and-career-development-programs,675,0,None,OK,2026-03-13 07:51:34 EST
https://fai.gov/,https://fai.gov/credentials/DAU-credentials,DAU Credentials,Internal,200,https://fai.gov/credentials/DAU-credentials,374,0,None,OK,2026-03-13 07:51:34 EST
https://fai.gov/,https://fai.gov/credentials/federal-credentials,Federal Credentials,Internal,200,https://fai.gov/credentials/federal-credentials,502,0,None,OK,2026-03-13 07:51:34 EST
https://fai.gov/,https://fai.gov/certification/fac-ppm,FAC-P/PM,Internal,200,https://fai.gov/certification/fac-ppm,609,0,None,OK,2026-03-13 07:51:34 EST
